Data as of,Date_Of_Death_Year,Date_Of_Death_Month,AgeGroup,Sex,COVID19,Diabetes.uc,Diabetes.mc,C19PlusDiabetes,C19PlusHypertensiveDiseases,C19PlusMajorCardiovascularDiseases,C19PlusHypertensiveDiseasesAndMCVD,C19PlusChronicLowerRespiratoryDisease,C19PlusKidneyDisease,C19PlusChronicLiverDiseaseAndCirrhosis,C19PlusObesity
10/20/2020,2020,1,<18 years,Female (F),0,3,5,0,0,0,0,0,0,0,0
10/20/2020,2020,1,<18 years,Male (M),0,3,3,0,0,0,0,0,0,0,0
10/20/2020,2020,1,18-29 years,Female (F),0,20,36,0,0,0,0,0,0,0,0
10/20/2020,2020,1,18-29 years,Male (M),0,44,65,0,0,0,0,0,0,0,0
10/20/2020,2020,1,30-39 years,Female (F),0,53,104,0,0,0,0,0,0,0,0
10/20/2020,2020,1,30-39 years,Male (M),0,79,161,0,0,0,0,0,0,0,0
10/20/2020,2020,1,40-49 years,Female (F),0,148,326,0,0,0,0,0,0,0,0
10/20/2020,2020,1,40-49 years,Male (M),0,261,535,0,0,0,0,0,0,0,0
10/20/2020,2020,1,50-59 years,Female (F),1,365,969,0,0,0,0,0,0,0,1
10/20/2020,2020,1,50-59 years,Male (M),0,620,1669,0,0,0,0,0,0,0,0
10/20/2020,2020,1,50-64 years,Female (F),1,671,1856,0,0,0,0,0,0,0,1
10/20/2020,2020,1,50-64 years,Male (M),0,1129,3156,0,0,0,0,0,0,0,0
10/20/2020,2020,1,60-69 years,Female (F),0,733,2120,0,0,0,0,0,0,0,0
10/20/2020,2020,1,60-69 years,Male (M),1,1130,3374,0,0,0,0,0,0,0,0
10/20/2020,2020,1,65-74 years,Female (F),2,918,2798,0,0,1,1,0,0,0,0
10/20/2020,2020,1,65-74 years,Male (M),1,1334,4177,0,0,0,0,0,0,0,0
10/20/2020,2020,1,70-79 years,Female (F),2,971,3188,0,0,1,1,0,0,0,0
10/20/2020,2020,1,70-79 years,Male (M),0,1316,4526,0,0,0,0,0,0,0,0
10/20/2020,2020,1,75-84 years,Female (F),1,993,3328,0,0,0,0,0,0,0,0
10/20/2020,2020,1,75-84 years,Male (M),0,1173,4295,0,0,0,0,0,0,0,0
10/20/2020,2020,1,80+ years,Female (F),2,1440,5112,0,0,0,0,1,0,0,0
10/20/2020,2020,1,80+ years,Male (M),1,1289,4856,0,1,1,1,1,0,0,0
10/20/2020,2020,1,85+ years,Female (F),1,927,3407,0,0,0,0,1,0,0,0
10/20/2020,2020,1,85+ years,Male (M),1,719,2797,0,1,1,1,1,0,0,0
10/20/2020,2020,1,Unknown age,Female (F),0,0,1,0,0,0,0,0,0,0,0
10/20/2020,2020,1,Unknown age,Male (M),0,0,1,0,0,0,0,0,0,0,0
10/20/2020,2020,2,<18 years,Female (F),0,4,6,0,0,0,0,0,0,0,0
10/20/2020,2020,2,<18 years,Male (M),0,2,3,0,0,0,0,0,0,0,0
10/20/2020,2020,2,18-29 years,Female (F),0,22,37,0,0,0,0,0,0,0,0
10/20/2020,2020,2,18-29 years,Male (M),0,29,49,0,0,0,0,0,0,0,0
10/20/2020,2020,2,30-39 years,Female (F),2,46,102,1,1,1,1,0,0,0,1
10/20/2020,2020,2,30-39 years,Male (M),0,89,171,0,0,0,0,0,0,0,0
10/20/2020,2020,2,40-49 years,Female (F),0,109,301,0,0,0,0,0,0,0,0
10/20/2020,2020,2,40-49 years,Male (M),0,211,478,0,0,0,0,0,0,0,0
10/20/2020,2020,2,50-59 years,Female (F),1,356,877,0,0,1,1,0,0,0,1
10/20/2020,2020,2,50-59 years,Male (M),4,622,1631,1,1,2,2,0,0,0,0
10/20/2020,2020,2,50-64 years,Female (F),2,667,1752,0,0,1,1,0,0,0,1
10/20/2020,2020,2,50-64 years,Male (M),4,1164,3091,1,1,2,2,0,0,0,0
10/20/2020,2020,2,60-69 years,Female (F),2,736,2083,0,0,0,0,0,0,0,0
10/20/2020,2020,2,60-69 years,Male (M),1,1129,3185,1,1,1,1,0,0,0,0
10/20/2020,2020,2,65-74 years,Female (F),2,871,2624,1,0,1,1,0,0,0,0
10/20/2020,2020,2,65-74 years,Male (M),2,1225,3798,1,1,1,1,0,0,0,0
10/20/2020,2020,2,70-79 years,Female (F),1,929,2983,1,0,1,1,0,0,0,0
10/20/2020,2020,2,70-79 years,Male (M),1,1227,4127,0,0,0,0,0,0,0,0
10/20/2020,2020,2,75-84 years,Female (F),1,901,3082,0,0,0,0,0,0,0,0
10/20/2020,2020,2,75-84 years,Male (M),1,1090,3962,0,1,1,1,1,0,0,0
10/20/2020,2020,2,80+ years,Female (F),3,1270,4765,0,1,1,1,0,0,0,0
10/20/2020,2020,2,80+ years,Male (M),1,1212,4524,0,1,1,1,1,0,0,0
10/20/2020,2020,2,85+ years,Female (F),2,852,3250,0,1,1,1,0,0,0,0
10/20/2020,2020,2,85+ years,Male (M),0,711,2616,0,0,0,0,0,0,0,0
10/20/2020,2020,2,Unknown age,Female (F),0,1,1,0,0,0,0,0,0,0,0
10/20/2020,2020,3,<18 years,Female (F),1,1,1,0,0,0,0,0,0,0,0
10/20/2020,2020,3,<18 years,Male (M),6,2,2,0,0,2,2,1,0,0,1
10/20/2020,2020,3,18-29 years,Female (F),11,27,45,3,1,3,3,0,1,0,3
10/20/2020,2020,3,18-29 years,Male (M),35,35,52,6,1,12,12,2,2,0,5
10/20/2020,2020,3,30-39 years,Female (F),40,72,145,3,6,20,20,4,6,2,9
10/20/2020,2020,3,30-39 years,Male (M),123,99,188,20,16,45,45,4,12,2,26
10/20/2020,2020,3,40-49 years,Female (F),94,129,354,16,21,40,40,10,3,0,20
10/20/2020,2020,3,40-49 years,Male (M),252,237,633,53,33,81,81,12,22,6,24
10/20/2020,2020,3,50-59 years,Female (F),232,343,1011,50,47,100,100,17,16,1,26
10/20/2020,2020,3,50-59 years,Male (M),537,675,1785,98,95,210,210,32,44,3,44
10/20/2020,2020,3,50-64 years,Female (F),416,663,2033,88,87,178,178,35,32,2,36
10/20/2020,2020,3,50-64 years,Male (M),931,1228,3483,175,180,379,379,60,85,7,68
10/20/2020,2020,3,60-69 years,Female (F),445,742,2371,81,100,194,194,46,38,6,19
10/20/2020,2020,3,60-69 years,Male (M),850,1207,3781,163,181,366,366,70,84,8,32
10/20/2020,2020,3,65-74 years,Female (F),583,937,2976,99,132,267,267,63,47,6,21
10/20/2020,2020,3,65-74 years,Male (M),1040,1378,4515,174,214,462,462,83,103,6,18
10/20/2020,2020,3,70-79 years,Female (F),703,1043,3410,114,148,324,324,83,47,3,19
10/20/2020,2020,3,70-79 years,Male (M),1123,1359,4729,166,239,510,510,92,112,3,20
10/20/2020,2020,3,75-84 years,Female (F),762,1024,3566,93,151,329,329,92,42,2,9
10/20/2020,2020,3,75-84 years,Male (M),1099,1166,4474,156,246,497,497,109,94,3,13
10/20/2020,2020,3,80+ years,Female (F),1234,1434,5480,96,239,539,539,118,55,1,4
10/20/2020,2020,3,80+ years,Male (M),1395,1281,5194,166,284,622,622,125,90,3,6
10/20/2020,2020,3,85+ years,Female (F),853,938,3697,61,164,383,383,74,35,1,2
10/20/2020,2020,3,85+ years,Male (M),835,750,3017,88,159,370,370,67,48,1,3
10/20/2020,2020,3,Unknown age,Male (M),1,0,1,0,0,0,0,0,0,0,0
10/20/2020,2020,4,<18 years,Female (F),9,5,6,0,0,3,3,3,0,0,2
10/20/2020,2020,4,<18 years,Male (M),7,4,5,1,0,1,1,0,0,0,1
10/20/2020,2020,4,18-29 years,Female (F),76,21,40,5,6,25,25,4,6,0,15
10/20/2020,2020,4,18-29 years,Male (M),146,42,77,17,9,47,47,11,13,0,31
10/20/2020,2020,4,30-39 years,Female (F),190,55,138,32,23,68,68,13,10,3,36
10/20/2020,2020,4,30-39 years,Male (M),487,96,254,73,53,162,162,22,37,11,89
10/20/2020,2020,4,40-49 years,Female (F),519,130,453,108,75,180,180,34,52,3,70
10/20/2020,2020,4,40-49 years,Male (M),1284,291,851,233,212,504,504,39,112,15,165
10/20/2020,2020,4,50-59 years,Female (F),1480,388,1311,290,267,583,583,125,125,17,143
10/20/2020,2020,4,50-59 years,Male (M),3335,716,2391,628,589,1366,1366,138,285,29,196
10/20/2020,2020,4,50-64 years,Female (F),3031,761,2580,596,573,1226,1226,290,261,33,260
10/20/2020,2020,4,50-64 years,Male (M),6318,1272,4536,1165,1187,2652,2652,307,548,61,295
10/20/2020,2020,4,60-69 years,Female (F),3589,787,2858,702,740,1539,1539,373,297,32,227
10/20/2020,2020,4,60-69 years,Male (M),6743,1224,4788,1213,1369,2905,2905,406,644,63,205
10/20/2020,2020,4,65-74 years,Female (F),4814,959,3754,924,1044,2147,2147,497,376,34,206
10/20/2020,2020,4,65-74 years,Male (M),8234,1461,5834,1482,1764,3655,3655,574,784,54,193
10/20/2020,2020,4,70-79 years,Female (F),6143,1091,4427,1060,1319,2745,2745,625,420,29,172
10/20/2020,2020,4,70-79 years,Male (M),9091,1430,6160,1500,1949,4146,4146,714,824,40,139
10/20/2020,2020,4,75-84 years,Female (F),7379,1083,4643,1067,1543,3240,3240,663,462,19,130
10/20/2020,2020,4,75-84 years,Male (M),9256,1222,5729,1379,2014,4317,4317,752,800,29,81
10/20/2020,2020,4,80+ years,Female (F),15882,1569,7200,1521,3274,7001,7001,1094,806,25,100
10/20/2020,2020,4,80+ years,Male (M),12706,1379,6590,1516,2698,5924,5924,943,957,21,49
10/20/2020,2020,4,85+ years,Female (F),11870,1032,4819,986,2440,5255,5255,767,549,17,46
10/20/2020,2020,4,85+ years,Male (M),8067,794,3830,831,1640,3717,3717,568,578,9,20
10/20/2020,2020,4,Unknown age,Female (F),1,0,0,0,0,1,1,1,0,0,0
10/20/2020,2020,4,Unknown age,Male (M),1,2,2,0,0,1,1,0,0,1,0
10/20/2020,2020,5,<18 years,Female (F),6,3,5,0,0,1,1,0,0,0,0
10/20/2020,2020,5,<18 years,Male (M),12,6,9,0,0,3,3,1,0,0,0
